titre,artiste,formats,formats_discogs,year,labels,genres,styles
Golden Negro Spirituals,The Golden Gate Quartet,2LP,Vinyl,1970,Columbia,"Folk, World, & Country",Gospel
"What'd You Come Here For? (12"" Mixes)",Trina & Tamara,LP,Vinyl,1999,Columbia,"Electronic, Funk / Soul","House, Contemporary R&B"
Ego Death,The Internet (2),2LP,Vinyl,2023,Columbia,"Hip Hop, Funk / Soul",Contemporary R&B
Scum Fuck Flower Boy,"Tyler, The Creator",2LP,Vinyl,2017,Columbia,"Hip Hop, Funk / Soul","Jazzy Hip-Hop, Pop Rap, Neo Soul"
Smoove,Full Force,LP,Vinyl,1989,Columbia,"Hip Hop, Funk / Soul",Contemporary R&B
Get Up With It,Miles Davis,2CD,CD,0,Columbia,Jazz,Fusion
The Score,Fugees,2LP,Vinyl,2012,Columbia,Hip Hop,"Pop Rap, Conscious"
A Seat At The Table,Solange (2),2LP,Vinyl,2016,Columbia,"Electronic, Hip Hop, Funk / Soul",Soul
The Melodic Blue,Baby Keem,2LP,Vinyl,2022,Columbia,Hip Hop,"Trap, Pop Rap"
Call Me If You Get Lost: The Estate Sale,"Tyler, The Creator",3LP,Vinyl,2023,Columbia,"Hip Hop, Funk / Soul","Trap, Contemporary R&B, Jazzy Hip-Hop, Neo Soul, Hardcore Hip-Hop"
Count 02,Detroit Syndrome,LP,Vinyl,2017,Counter 99,Electronic,"Electro, Ambient"
Jos� Versol,Jos� Versol,LP,Vinyl,1989,Debs,"Folk, World, & Country",Zouk
Just One More Time And Other Instrumental Favorites,Earl Grant,LP,Vinyl,1964,Decca,"Jazz, Pop","Cool Jazz, Swing, Easy Listening"
Dark Times,Vince Staples,LP,Vinyl,2024,Def Jam Recordings,Hip Hop,Jazzy Hip-Hop
Michel D'Alexis Et Son Orchestre Les Aiglons,Les Aiglons,LP,Vinyl,1978,Disques Debs International,"Latin, Folk, World, & Country",Compas
Don Dada Mixtape Vol 1,Alpha Wann,2LP,Vinyl,2021,Don Dada Records,Hip Hop,Trap
UMLA ,Alpha Wann,2LP,Vinyl,2018,Don Dada Records,Hip Hop,
KOD,J. Cole,LP,Vinyl,2018,Dreamville,Hip Hop,Conscious
This Lake Is Successful,Varnish La Piscine,LP,Vinyl,2023,Ed Banger Records,"Hip Hop, Funk / Soul",Contemporary R&B
De L'Autre C�t� De Mon R�ve.,V�ronique Sanson,LP,Vinyl,1972,Elektra,Pop,"Chanson, Ballad"
BLO,13 Block,2LP,Vinyl,2020,Elektra France,Hip Hop,
Hollywood,V�ronique Sanson,LP,Vinyl,1977,Elektra,"Funk / Soul, Pop","Chanson, Funk, Rhythm & Blues"
Sin Miedo ,Kali Uchis,LP,Vinyl,2021,EMI,"Latin, Funk / Soul, Pop","Reggaeton, Contemporary R&B"
The Great Escape ,"Larry June, Alchemist",LP,Vinyl,2023,Empire,Hip Hop,"Jazzy Hip-Hop, Boom Bap"
One In A Million,Aaliyah,2LP,Vinyl,2022,Empire,"Hip Hop, Funk / Soul","Contemporary R&B, Pop Rap"
Free Nationals,The Free Nationals,2LP,Vinyl,2020,Empire,"Hip Hop, Funk / Soul",
1021,Rochelle Jordan,2LP,Vinyl,2024,Empire,"Electronic, Funk / Soul, Pop","Dance-pop, Rhythm & Blues"
Groove Theory,Groove Theory,2LP,Vinyl,1995,Epic,"Hip Hop, Funk / Soul","Contemporary R&B, Neo Soul"
Diamond Life,Sade,LP,Vinyl,1984,Epic,"Jazz, Funk / Soul, Pop","Downtempo, Soul, Smooth Jazz, Vocal"
Stronger Than Pride,Sade,LP,Vinyl,1988,Epic,"Jazz, Funk / Soul, Pop","Downtempo, Smooth Jazz, Soul"
Promise,Sade,LP,Vinyl,1985,Epic,"Jazz, Funk / Soul, Pop",Soul
Off The Wall,Michael Jackson,LP,Vinyl,1979,Epic,"Funk / Soul, Pop","Disco, Soul, Ballad"
Thriller,Michael Jackson,LP,Vinyl,1982,Epic,"Funk / Soul, Pop","Contemporary R&B, Disco, Soul"
Pass The Lovin',Brownstone,LP,Vinyl,1994,Epic Street,"Electronic, Hip Hop, Funk / Soul","Contemporary R&B, House"
HNDRXX,Future (4),2LP,Vinyl,2018,Epic,Hip Hop,Trap
Utopia,Travis Scott (2),2LP,Vinyl,2023,Epic,"Electronic, Hip Hop","Trap, Cloud Rap, Pop Rap, Experimental, Psychedelic"
Utopia,Travis Scott (2),2CD,CD,2023,Epic,"Electronic, Hip Hop","Experimental, Trap, Cloud Rap, Pop Rap, Psychedelic"
Astroworld,Travis Scott (2),2LP,Vinyl,2018,Epic,Hip Hop,"Trap, Pop Rap, Psychedelic"
Dangerous,Michael Jackson,2LP,Vinyl,1991,Epic,"Funk / Soul, Pop","New Jack Swing, Dance-pop, Contemporary R&B"
Invincible,Michael Jackson,2LP,Vinyl,2001,Epic,"Electronic, Hip Hop, Funk / Soul, Pop","Contemporary R&B, Neo Soul, New Jack Swing, Ballad, Pop Rap"
Rodeo,Travis Scott (2),2LP,Vinyl,2022,Epic,Hip Hop,Trap
Birds In The Trap Sing Mcknight,Travis Scott (2),2LP,Vinyl,2016,Epic,Hip Hop,Trap
Love Deluxe,Sade,LP,Vinyl,2024,Epic,"Jazz, Funk / Soul, Pop","Smooth Jazz, Contemporary Jazz, Soul, Neo Soul"
The Dips,The Wascals,LP,Vinyl,1994,Fathouse Wreckords,Hip Hop,
No Thank You,Little Simz,2LP,Vinyl,2023,Forever Living Originals,Hip Hop,"Conscious, Jazzy Hip-Hop"
Les Amants Terribles,Tuerie,LP,Vinyl,2025,Foufoune Palace,Hip Hop,
We Still Don't Trust You,"Future (4), Metro Boomin",2LP,Vinyl,2024,Freebandz Entertainment,"Hip Hop, Funk / Soul","Trap, Contemporary R&B, Pop Rap"
We Dont Trust You,"Future (4), Metro Boomin",2LP,Vinyl,2024,Freebandz Entertainment,Hip Hop,"Trap, Gangsta"
Lethal,Rico Nasty,LP,Vinyl,2025,Fueled By Ramen,"Electronic, Hip Hop, Rock","Pop Rap, Punk, Trap"
Orqu�deas,Kali Uchis,LP,Vinyl,2024,Geffen Records,"Electronic, Reggae, Latin, Funk / Soul, Pop","Indie Pop, Psychedelic, Neo Soul, Contemporary R&B, Merengue, Dancehall, Bolero"
"Awaken, My Love!",Childish Gambino,LP,Vinyl,2017,Glassnote (2),Funk / Soul,"Contemporary R&B, Funk, Neo Soul, Psychedelic"
Because The Internet,Childish Gambino,2LP,Vinyl,2022,Glassnote (2),"Electronic, Hip Hop","Abstract, Conscious"
Dummy,Portishead,LP,Vinyl,2017,Go! Beat,Electronic,"Trip Hop, Downtempo"
Scaring The Hoes: DLC Pack,"JPEGMAFIA, Danny Brown (2)",LP,Vinyl,2024,Godmode,"Electronic, Hip Hop","Trap, Hardcore Hip-Hop, Jazzy Hip-Hop, Glitch Hop, Experimental"
Instincts Meurtriers,Cortex (18),2CD,CD,2010,Gory Black Records,Hip Hop,Hardcore Hip-Hop
Goodbye & Good Riddance,Juice WRLD,LP,Vinyl,2018,Grade A Productions,Hip Hop,"Emo, Trap, Pop Rap"
Controle,Les Diplomates (2),LP,Vinyl,1977,Gu�rardisques,"Folk, World, & Country",Compas
Baby I've Been Missing You / Julia,Bunny Maloney,LP,Vinyl,1978,Gull,Reggae,"Dub, Lovers Rock"
Bravado + Intimo,Jay IDK,LP,Vinyl,2024,idk.,Hip Hop,
"Good Kid, M.A.A.D City",Kendrick Lamar,2LP,Vinyl,2022,Interscope Records,Hip Hop,Conscious
Red Moon In Venus,Kali Uchis,LP,Vinyl,2023,Interscope Records,"Electronic, Latin, Funk / Soul, Pop","Contemporary R&B, Neo Soul, Psychedelic, Funk"
Forward,Jordan Ward,LP,Vinyl,2024,Interscope Records,Funk / Soul,Contemporary R&B
2014 Forest Hills Drive,J. Cole,2LP,Vinyl,2024,Interscope Records,Hip Hop,Conscious
Death Race For Love,Juice WRLD,2LP,Vinyl,2019,Interscope Records,"Hip Hop, Rock","Emo, Trap"
Tristesse Business Saison 01,Luidji (2),2LP,Vinyl,2024,Island Def Jam Music Group,Hip Hop,
11-20-79,Mona Lisa (2),LP,Vinyl,1996,Island Records,"Hip Hop, Funk / Soul","Contemporary R&B, Soul"
Conscience,Womack & Womack,LP,Vinyl,1988,Island Records,"Electronic, Funk / Soul","Soul, Disco"
Water Made Us,Jamila Woods,LP,Vinyl,2023,Jagjaguwar,Funk / Soul,"Contemporary R&B, Neo Soul"
Heavn,Jamila Woods,LP,Vinyl,2017,Jagjaguwar,"Hip Hop, Funk / Soul",Contemporary R&B
Legacy! Legacy!,Jamila Woods,2LP,Vinyl,2019,Jagjaguwar,Funk / Soul,"Soul, Contemporary R&B"
Planet Her ,Doja Cat,2LP,Vinyl,2022,Kemosabe Records,"Hip Hop, Funk / Soul, Pop","Pop Rap, Contemporary R&B, Dance-pop, Trap"
Scarlet 2 Claude,Doja Cat,2LP,Vinyl,2024,Kemosabe Records,"Hip Hop, Pop","Pop Rap, Trap, Contemporary R&B, Trip Hop, Jazzy Hip-Hop"
La Voix Dans Ma T�te,Chanceko,2CD,CD,2023,La Chance Musique,Hip Hop,
La Voix Dans Ma T�te,Chanceko,LP,Vinyl,2023,La Chance Musique,Hip Hop,
Souvenirs Des Antilles Vol.3,Various,LP,Vinyl,0,Les Tr�teaux,"Latin, Folk, World, & Country",Beguine
Melt My Eyez See Your Future,Denzel Curry,LP,Vinyl,2022,Loma Vista,"Hip Hop, Funk / Soul","Conscious, Pop Rap, Jazzy Hip-Hop, Boom Bap, Trap, Neo Soul, Contemporary R&B"
Ping-Pong LP,Arctween,LP,Vinyl,2024,Madluv Records,"Electronic, Hip Hop","Downtempo, Hip Hop, Leftfield"
Arabian Nights,The Ritchie Family,LP,Vinyl,1976,Marlin,Funk / Soul,Disco
Candy Rain,Soul For Real,LP,Vinyl,1994,MCA Records,Funk / Soul,Contemporary R&B
My Life,Mary J. Blige,2LP,Vinyl,1994,MCA Records,Funk / Soul,Contemporary R&B
Long Time Coming,Ready For The World,LP,Vinyl,1986,MCA Records,Funk / Soul,Contemporary R&B
Quiet In A World Full Of Noise,"Dawn Richard (2), Spencer Zahn (2)",LP,Vinyl,2024,Merge Records,"Electronic, Jazz, Funk / Soul, Classical","Modern Classical, Ambient, Contemporary R&B"
Operation: Doomsday,MF Doom,2LP,Vinyl,2021,Metal Face Records,Hip Hop,Conscious
Voodoo,D'Angelo,2LP,Vinyl,2012,Modern Classics Recordings,"Hip Hop, Funk / Soul","Soul, Funk, Neo Soul"
The Aquarius Years,Tiombe Lockhart,LP,Vinyl,2020,Mother Tongue Records (2),"Electronic, Funk / Soul","Contemporary R&B, Soul, Neo Soul, Trip Hop"
Mutt,Leon Thomas III,LP,Vinyl,2024,Motown,Funk / Soul,"Contemporary R&B, Funk"
Ramona Park Broke My Heart,Vince Staples,LP,Vinyl,2022,Motown,Hip Hop,
Saturday Night,Zhan�,2LP,Vinyl,1997,Motown,"Hip Hop, Funk / Soul","Contemporary R&B, Neo Soul"
New Soul Greatest Hits 14,Diana Ross,LP,Vinyl,1976,Motown,"Funk / Soul, Pop","Ballad, Vocal, Disco, Soul"
Baduizm,Erykah Badu,2LP,Vinyl,2016,Motown,Funk / Soul,"Neo Soul, Contemporary R&B"
Mama's Gun,Erykah Badu,2LP,Vinyl,2016,Motown,"Hip Hop, Funk / Soul","Contemporary R&B, Neo Soul"
Loaded With The Blues,Chicago Blues All Stars,LP,Vinyl,0,MPS Records,"Jazz, Blues",
Are You Experienced,The Jimi Hendrix Experience,LP,Vinyl,2018,Music On Vinyl,Rock,"Psychedelic Rock, Blues Rock"
The Infamous,Mobb Deep,2LP,Vinyl,2020,Music On Vinyl,Hip Hop,"Hardcore Hip-Hop, Boom Bap, Gangsta"
Submarine,The Mar�as,LP,Vinyl,2024,Nice Life,"Rock, Pop","Indie Pop, Alt-Pop"
KaytrAmin�,KaytrAmin�,LP,Vinyl,2023,Not On Label,"Electronic, Hip Hop, Pop",Hip-House
Blond,Frank Ocean,2LP,Vinyl,2016,Not On Label (Frank Ocean),"Hip Hop, Funk / Soul",
La�la,Khali (6),2CD,CD,2021,Not On Label (Khali (6) Self-released),Hip Hop,
The Angel You Don't Know ,Amaarae,LP,Vinyl,2022,NTS (4),"Electronic, Hip Hop, Folk, World, & Country",Hiplife
Oh My God Vol.1,Richie Beats,LP,Vinyl,2024,OH MY GOD,Hip Hop,"Drill, Trap"
Malaboy,Chanceko,2CD,CD,2021,Parlophone,Hip Hop,
GNX,Kendrick Lamar,LP,Vinyl,2025,pgLang,"Hip Hop, Funk / Soul","Conscious, Contemporary R&B, Hardcore Hip-Hop"
Mr. Morale & The Big Steppers,Kendrick Lamar,2LP,Vinyl,2022,pgLang,"Hip Hop, Jazz, Funk / Soul","Conscious, Trap, Jazzy Hip-Hop, Neo Soul, Contemporary R&B, Experimental"
Offishal,Ambiance Skandal,2CD,CD,2021,Play Two,"Hip Hop, Funk / Soul",Contemporary R&B
Long.Live.A$AP ,ASAP Rocky,2LP,Vinyl,2013,Polo Grounds Music,Hip Hop,Cloud Rap
At.Long.Last.A$AP,ASAP Rocky,2LP,Vinyl,2016,Polo Grounds Music,Hip Hop,"Cloud Rap, Trap, Psychedelic"
