titre,artiste,formats,formats_discogs,year,labels,genres,styles
Brown Sugar,D�Angelo,2LP,Vinyl,2015,Virgin,Funk / Soul,"Soul, Neo Soul, Contemporary R&B"
Mega BBL,Theodora,2CD,CD,2025,Virgin,"Hip Hop, Pop",
La Vie De Luxe (Dark Edition),Youv Dee,2LP,Vinyl,2022,Virgin France Records,"Hip Hop, Rock, Pop",Pop Rock
Stratos,Kekra,2CD,CD,2023,Virgin Music,Hip Hop,"Cloud Rap, Trap, Electro"
So Where Are You?,Loose Ends,LP,Vinyl,1985,Virgin,"Electronic, Funk / Soul","Downtempo, Soul, Funk"
Definitely,3 Suns,LP,Vinyl,2004,VP Records,"Electronic, Reggae","Soca, Dancehall, Ragga"
Kekra,Kekra,2CD,CD,2021,VRL,Hip Hop,
24,La F�ve (2),2LP,Vinyl,2024,Walone,Hip Hop,"Trap, Pop Rap"
Just Be My Lady,Larry Graham,LP,Vinyl,1981,Warner Bros. Records,Funk / Soul,"Soul, Disco"
Swimming,Mac Miller,2LP,Vinyl,2018,Warner Bros. Records,"Hip Hop, Funk / Soul",Jazzy Hip-Hop
The Divine Feminine,Mac Miller,2LP,Vinyl,2023,Warner Records,Hip Hop,
GO:OD AM,Mac Miller,2LP,Vinyl,2020,Warner Records,Hip Hop,
Balloonerism,Mac Miller,2LP,Vinyl,2025,Warner Records,Hip Hop,"Jazzy Hip-Hop, Rhythm & Blues, Neo Soul, Abstract"
Faces,Mac Miller,3LP,Vinyl,2023,Warner Records,Hip Hop,"Cloud Rap, Conscious, Jazzy Hip-Hop"
Circles,Mac Miller,2LP,Vinyl,2020,Warner Records,"Hip Hop, Funk / Soul",
SICK!,Earl Sweatshirt,LP,Vinyl,2023,Warner Records,Hip Hop,Conscious
Raven,Kelela,2LP,Vinyl,2023,Warp Records,"Electronic, Funk / Soul","Contemporary R&B, UK Garage, Breakbeat, Downtempo, Drum n Bass"
In The Blue Light,Kelela,2LP,Vinyl,2025,Warp Records,"Jazz, Funk / Soul, Pop",Contemporary R&B
Body Pressure,Sho Nuff,LP,Vinyl,2025,Wewantsounds,Funk / Soul,"Funk, Boogie, Disco, Soul"
Buena Vista Social Club,Buena Vista Social Club,2LP,Vinyl,2015,World Circuit,Latin,"Afro-Cuban, Son, Danzon, Bolero, Trova, Guajira, Ballad"
99.9%,Kaytranada,2LP,Vinyl,2016,XL Recordings,"Electronic, Hip Hop, Funk / Soul","House, Deep House, Hip-House"
After Hours,The Weeknd,2LP,Vinyl,2020,XO,"Electronic, Hip Hop, Funk / Soul, Pop","Contemporary R&B, Synthwave, New Wave, Pop Rap, Disco, Synth-pop"
Starboy,The Weeknd,2LP,Vinyl,2017,XO,"Electronic, Hip Hop, Funk / Soul, Pop","Dance-pop, Pop Rap, Contemporary R&B, Synth-pop"
Hurry Up Tomorrow,The Weeknd,LP,Vinyl,2025,XO,"Electronic, Funk / Soul, Pop","Contemporary R&B, Synth-pop, Synthwave"
House Of Balloons,The Weeknd,2LP,Vinyl,2015,XO,"Electronic, Hip Hop, Funk / Soul, Pop",Contemporary R&B
"My Dear Melancholy,",The Weeknd,LP,Vinyl,2020,XO,"Electronic, Hip Hop, Funk / Soul, Pop","Contemporary R&B, Synth-pop, Pop Rap"
Dawn FM,The Weeknd,2LP,Vinyl,2022,XO,"Electronic, Funk / Soul, Pop","Contemporary R&B, Spoken Word, Disco, Synthwave, New Wave, Dance-pop, Synth-pop"
Kiss Land,The Weeknd,2CD,CD,2013,XO,"Hip Hop, Funk / Soul, Pop",Contemporary R&B
Scorpion,Drake,2LP,Vinyl,2018,Young Money,"Hip Hop, Funk / Soul","Contemporary R&B, Pop Rap"
Take Care,Drake,2LP,Vinyl,2011,Young Money,"Hip Hop, Funk / Soul","Contemporary R&B, Pop Rap"
Wunna,Gunna,2LP,Vinyl,2025,Young Stoner Life Records,Hip Hop,Trap
N�IR,Smino,2LP,Vinyl,2024,Zero Fatigue LLC,"Hip Hop, Funk / Soul","Contemporary R&B, Neo Soul"
Buhlne Mind State,De La Soul,LP,Vinyl,1993,Big Life,Hip Hop,Jazzy Hip-Hop
Let�s Start Here.,Lil Yachty,2LP,Vinyl,2023,Quality Control Music (2),"Rock, Funk / Soul, Pop","Psychedelic Rock, Space Rock, Psychedelic, Neo Soul"
Brown Sugar,D�Angelo,2LP,Vinyl,2015,Virgin,Funk / Soul,"Soul, Neo Soul, Contemporary R&B"

